DRIVER,CUSTID,LOCATION,CLUB_NAME,STARTS,WINS,AVG_START_POS,AVG_FINISH_POS,AVG_POINTS,TOP25PCNT,LAPS,LAPSLEAD,AVG_INC,CLASS,IRATING,TTRATING,TOT_CLUBPOINTS,CHAMPPOINTS
"Patrick Crabtree","114928","US","New England",578,68,7,10,111,253,36794,4316,3.25,"A 4.83",5833,1482,2829,64306
"Dustan Karschner","163095","US","Pennsylvania",457,25,9,10,118,169,41689,1574,4,"A 4.31",5833,1201,1252,53973
"Jason Berg","114876","US","Northwest",730,71,7,8,92,285,32464,3640,2.72,"A 3.53",5823,1330,4339,67244
"Blade Whitt","24011","US","Virginias",676,102,7,7,129,336,41948,5690,2.85,"A 2.36",5820,1053,4630,87096
"Tyler Hill","60305","US","Atlantic",797,121,10,9,119,366,56203,5227,3.3,"P 3.51",5817,1635,5230,94950
"Galen Winesette","31481","US","Virginias",832,388,2,4,129,588,42117,21702,1.2,"A 4.82",5815,1873,2805,107046
"Connor Anton","95129","CA","Canada",1153,183,5,7,100,522,48809,8618,2.39,"A 1.32",5814,1075,6886,115505
"Dylan Roe","50304","US","Carolina",2428,470,7,7,88,1071,91368,17677,2.68,"A 2.24",5813,1410,10057,212791
"James Wenzel","68733","US","Midwest",726,90,7,7,100,287,51818,6914,2.46,"A 4.85",5811,1620,3885,72278
"Scott Sanderson","98476","US","Illinois",593,81,8,7,81,217,28045,3189,2.2,"A 4.08",5809,1564,2618,48155
"Steffen Nobis","119348","DE","DE-AT-CH",222,42,7,7,114,110,17039,3525,3.43,"A 4.99",5793,1800,876,25216
"Mickaël CADO","122146","FR","France",393,41,8,8,112,160,30231,2226,3.7,"A 3.82",5793,1265,2292,44037
"Toby Jenkins","28450","US","Northwest",422,121,6,5,137,231,25107,6791,2.78,"A 4.25",5792,1575,2832,57902
"TJ Hays","138817","US","Mid-South",276,84,5,5,100,156,14015,4220,1.59,"A 4.62",5788,1344,1918,27637
"Brad Davies","15569","US","Florida",750,228,9,9,152,457,69521,15254,3.37,"P 2.44",5787,2096,5362,114212
"James Mihlbachler","82698","US","Ohio",1650,244,8,7,103,703,71358,11196,4.09,"A 4.64",5782,1464,10242,169616
"Jesse Schwarz","130173","US","Atlantic",1470,199,5,8,89,544,68530,13309,2.9,"A 4.64",5782,1314,9150,131552
"Carson Hocevar","141337","US","Michigan",1174,241,6,6,86,552,50058,10466,3.38,"A 1.40",5782,1121,4985,100730
"Kevin J Holley","56503","US","Great Plains",1564,180,7,7,96,508,62935,5683,2.82,"A 3.50",5778,1306,5076,150340
"Spencer Prete","91485","US","Atlantic",1410,237,6,7,77,560,55944,13301,3.78,"A 2.33",5775,1305,5018,108590
"Rickey J Sanders","278207","US","California Club",964,379,3,4,108,584,20811,8390,2.42,"A 2.43",5774,1349,6443,104094
"Ian Hann","82865","US","Mid-South",1069,129,8,9,108,418,63664,7863,4.24,"A 2.64",5774,1523,7483,115208
"Brendan Costello","145465","US","New England",216,27,11,7,124,112,13152,1514,4.05,"A 3.53",5772,1285,1492,26787
"Joshua Filyaw","126648","US","Carolina",791,96,8,8,120,360,51967,5350,3.49,"A 3.42",5761,1282,5055,94724
"Tom Moustakas","65431","US","New York",1350,243,6,7,131,660,70995,13260,2.54,"A 4.60",5760,2034,11039,176179
"Samuel Dick","17518","US","Pennsylvania",1124,323,6,6,95,524,70738,21731,1.84,"A 4.53",5750,1594,5390,107337
"Garrett Manes","194770","US","Virginias",1123,219,5,7,97,572,51462,12422,2.32,"A 4.83",5750,1435,8028,109187
"Kyle Putz","95111","US","Midwest",423,29,12,10,114,135,30885,2340,2.76,"P 2.62",5748,1323,1739,48143
"Scott T McLaughlin","30869","AU","Australia/NZ",653,218,4,5,88,362,22837,8837,3.08,"A 2.16",5745,1232,3526,57654
"Brett Osborn","75716","US","Ohio",1163,333,4,5,104,640,75205,23930,2.26,"A 4.83",5744,1654,6859,120656
"Ryan Matthews","108148","US","Virginias",1595,268,9,8,61,531,71506,12951,3.59,"A 2.49",5743,1227,5991,97757
"Glynn Rockefeller Jr","201327","US","New England",405,36,12,11,118,133,32863,1633,4.95,"A 2.59",5738,1359,1670,47978
"Robin Mundhenk","35054","DE","DE-AT-CH",417,72,5,7,105,216,26675,4724,3.17,"A 3.70",5737,1314,3164,43621
"Cal Whatmore","52856","AU","Australia/NZ",615,121,6,6,101,317,20668,3216,2.23,"A 3.69",5734,1394,4725,62194
"Dalton Collins","111238","US","Mid-South",3014,462,5,7,96,1405,130253,20890,2.89,"A 4.37",5734,1186,19170,290109
"Jake Matheson","90854","US","New England",1431,139,9,8,72,464,52677,4865,4.43,"A 1.15",5726,1399,5759,103305
"Wade Hustad","97256","US","Midwest",580,220,3,5,128,373,21093,9082,2.09,"A 3.39",5722,1341,3621,74416
"John Gorlinsky","15564","US","New Jersey",830,231,8,7,136,489,56636,13913,3.35,"A 3.49",5719,1587,6870,113155
"Nathan Saxon","71924","US","New England",371,59,4,6,98,165,22964,5808,2.22,"A 4.06",5712,2045,1842,36307
"Alex J Holt","91747","US","Northwest",279,82,3,5,109,170,12211,4502,1.8,"A 4.47",5707,1451,2214,30501
"Kyle Sterk","91377","US","Carolina",410,119,4,5,95,217,21766,7568,2.1,"A 4.99",5704,2126,1701,38943
"Justin Roberts","16652","US","Virginias",233,43,6,5,129,104,16431,1868,2.52,"A 4.99",5702,1676,1684,29977
"Grant Winchester","107455","US","Carolina",952,260,4,7,98,489,39714,13866,3.2,"A 3.20",5701,1354,7171,93469
"Jacob Leverstein","102690","US","Virginias",398,91,4,5,79,191,12066,3310,3.4,"A 3.65",5697,1312,1586,31560
"Craig Stykes","46022","US","Mid-South",637,125,9,7,117,324,39016,7463,2.63,"A 4.32",5689,1422,5111,74740
"Nigel Marneef","116265","NL","Benelux",341,74,6,6,113,209,22520,4159,1.58,"A 4.99",5683,1364,3147,38534
"Ty Spearman","117374","US","Carolina",697,194,3,5,105,381,38596,12419,1.73,"A 4.37",5681,1336,4618,73482
"Garret Strachota","183717","US","Midwest",678,168,5,5,97,399,30932,8286,3.91,"C 1.57",5681,1356,4975,66001
"Case Brinksma","33718","US","California Club",833,206,6,6,80,329,38690,8392,2.4,"A 3.70",5677,1306,3182,66377
"Gary Fridinger","42860","US","Pennsylvania",386,147,5,5,109,237,28823,10876,1.58,"A 4.60",5670,1665,2756,41893
"Daniel Williamson","22218","US","Virginias",1207,304,3,5,113,619,61709,18562,2.89,"A 3.58",5668,1884,6387,135889
"Travis Adams","68607","US","Virginias",188,89,3,4,105,121,6712,2971,1.14,"A 4.99",5667,1884,1103,19745
"Kevin Pommier","105435","FR","France",1036,83,8,8,92,439,54619,3909,2.94,"A 4.64",5666,1321,6863,95187
"Alex Peck","96224","US","Northwest",656,140,6,5,106,353,26317,5340,1.77,"A 4.48",5665,1425,4857,69734
"Joe P Martinez","216728","US","West",331,120,4,4,80,180,15288,5992,2.26,"A 4.67",5661,1529,1366,26363
"Rafael Doninelli","48153","BR","Brazil",433,79,7,8,118,200,32884,5228,2.59,"A 4.74",5656,1279,3289,51180
"Graham Bunyan","154796","AU","Australia/NZ",1572,334,6,6,84,766,75404,17885,1.67,"A 4.99",5654,1216,10139,132040
"Graham A. Bowlin","222922","US","Mid-South",464,70,7,8,102,199,18443,2753,3.96,"A 4.41",5653,1223,3128,47487
"James Heater","58542","US","Ohio",257,53,3,5,106,151,15742,3898,1.2,"A 4.99",5651,1695,2183,27291
"Casey Kelley","128939","US","Carolina",300,70,7,6,106,160,12771,2916,2.89,"A 2.21",5650,1350,2039,31857
"Timothy J Collins","143946","US","Carolina",126,64,2,4,141,102,5047,2736,1.63,"A 4.35",5649,1470,667,17763
"Allen Provenzano","100860","US","Illinois",572,141,6,6,106,303,23603,5961,2.34,"A 4.99",5640,1329,3688,60913
"Fernando Cardoso","127024","CA","Canada",697,86,7,9,82,249,27032,3618,3.52,"A 4.75",5636,1274,3841,56808
"Bill Brown","54851","US","Florida",767,166,4,5,101,385,42604,10692,1.89,"A 4.99",5635,2500,4989,77128
"Ryan Borges","114122","US","New England",823,74,9,9,80,243,46107,3520,4.11,"A 4.35",5631,1366,3010,65871
"Connor Mackenzie","16789","CA","Canada",317,88,5,6,135,203,23256,6146,2.21,"A 3.97",5631,1818,1669,42709
"Christian Pedersen","22018","US","New England",2047,402,9,7,121,1027,94743,14535,3.72,"A 2.78",5630,1454,15188,247560
"Jason Martin3","64487","AU","Australia/NZ",559,160,2,4,98,361,29438,8137,1.34,"A 4.99",5629,1766,4390,55023
"Dylan Wilson","67353","US","West",239,59,6,7,100,124,9937,2807,2.52,"A 3.01",5626,1283,1444,24003
"Robert Kerstetter2","251721","US","Pennsylvania",1021,91,6,8,79,330,30405,3261,2.99,"A 2.50",5626,1622,4224,80202
"Phillip Diaz","15579","US","Florida",189,16,11,9,127,77,14846,1394,3,"P 4.45",5624,1605,986,24084
"Justin Garrett","17730","US","Virginias",1029,495,4,3,141,717,56211,24894,2.33,"A 3.63",5622,1526,5444,144802
"Larry Yingling","108514","US","Pennsylvania",206,62,4,5,101,125,11702,3517,1.33,"A 4.99",5621,1407,1592,20732
"Matthew Nichols","98445","US","Northwest",585,52,7,9,109,238,30223,4089,3.13,"A 4.92",5619,1316,3719,63678
"Blake Bryant","72532","US","Carolina",1810,165,7,9,103,724,87644,7797,2.72,"A 3.52",5618,1447,12199,186004
"Zach Chinowith","39960","US","Texas",238,72,8,6,89,122,12374,2741,2.88,"A 4.99",5618,1663,1924,21159
"Josh Skroupa","17814","US","Atlantic",773,355,3,5,111,540,39476,21900,1.38,"A 4.97",5617,1795,7588,85521
"Allen Boes","64447","US","Ohio",2395,372,7,9,118,1082,114913,19270,2.92,"A 1.39",5611,1411,16256,283703
"Colton Davis","174060","US","Great Plains",1508,279,7,8,105,708,78018,13868,4.04,"A 3.52",5611,1310,8805,158164
